#Aegean version 2.3.0-(2022-08-17)
# on dataset: /mnt/storage-work/wushaofeng/work/sim/ska1-low/SDP-39/sim2/QA_new/aegean/CIP_t1_SDP-39_sim2_noise1e-5_fov4.5_nmoment3_cip.taylor.0.restored.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0100,00) -0.000048  0.000597 23:09:28.87  -10:11:32.03 347.3702912  0.0002314 -10.1922303  0.0002009  0.003093  0.000582  0.003351  0.000656  9.54  0.40  7.81  0.27   63.3   0.8   0000000
(0101,00) -0.000017  0.000799 23:16:16.39  -10:11:11.29 349.0683040  0.0000290 -10.1864703  0.0000260  0.031261  0.000789  0.032126  0.000841  9.08  0.05  7.79  0.04   60.5   0.1   0000000
(0102,00) -0.000002  0.000471 23:12:34.68  -10:11:20.69 348.1444810  0.0002122 -10.1890802  0.0001911  0.002440  0.000464  0.002295  0.000455  8.69  0.37  7.44  0.27   61.4   0.9   0000000
(0103,00) -0.000023  0.000334 23:06:58.99  -10:11:09.54 346.7458017  0.0000569 -10.1859835  0.0000561  0.006343  0.000328  0.006616  0.000354  8.62  0.09  8.32  0.08   61.8   1.0   0000000
(0104,00) -0.000012  0.000443 23:06:21.42  -10:10:48.44 346.5892329  0.0000134 -10.1801218  0.0000131  0.034738  0.000408  0.035656  0.000436  8.75  0.02  8.07  0.02   61.3   0.1   0000000
(0105,00) -0.000006  0.000500 23:04:02.89  -10:10:43.65 346.0120283  0.0002135 -10.1787916  0.0002268  0.002569  0.000489  0.002787  0.000554  8.81  0.33  8.47  0.38  -27.1   3.5   0000000
(0106,00) -0.000047  0.000485 23:10:58.96  -10:10:37.14 347.7456774  0.0000160 -10.1769847  0.0000151  0.034081  0.000431  0.035182  0.000464  8.65  0.02  8.20  0.02   61.5   0.2   0000000
(0107,00) -0.000041  0.000721 23:15:37.45  -10:10:23.07 348.9060250  0.0002158 -10.1730749  0.0001637  0.004235  0.000701  0.004377  0.000755 10.23  0.40  6.95  0.20   61.1   0.3   0000000
(0108,00) -0.000022  0.000537 23:03:09.10  -10:09:58.05 345.7879240  0.0000152 -10.1661261  0.0000149  0.037492  0.000521  0.037003  0.000533  8.52  0.02  7.97  0.02   61.7   0.1   0000000
(0109,00) -0.000072  0.001300 23:01:02.47  -10:09:41.74 345.2603085  0.0000086 -10.1615932  0.0000079  0.194261  0.001394  0.200725  0.001483  8.68  0.01  8.19  0.01   61.2   0.1   0000000
(0110,00) -0.000008  0.000604 23:18:45.05  -10:09:44.42 349.6876967  0.0000679 -10.1623395  0.0000684  0.009059  0.000590  0.008607  0.000583  8.16  0.10  8.01  0.11  -30.7   2.6   0000000
(0111,00) -0.000020  0.000400 23:05:52.70  -10:09:56.84 346.4695992  0.0000147 -10.1657888  0.0000146  0.028757  0.000382  0.029339  0.000405  8.49  0.02  8.26  0.02   61.7   0.3   0000000
(0112,00)  0.000002  0.000526 23:14:55.12  -10:09:50.75 348.7296632  0.0000094 -10.1640977  0.0000104  0.052815  0.000528  0.053359  0.000553  8.51  0.02  8.16  0.02   62.4   0.2   0000000
(0114,00) -0.000011  0.000387 23:09:54.44  -10:09:34.03 347.4768304  0.0000108 -10.1594527  0.0000105  0.035949  0.000332  0.037231  0.000358  8.72  0.02  8.17  0.01   62.9   0.1   0000000
(0115,00) -0.000019  0.000578 23:12:03.64  -10:09:31.01 348.0151728  0.0000666 -10.1586138  0.0000571  0.009993  0.000554  0.010638  0.000609  9.49  0.10  7.71  0.07   62.9   0.2   0000000
(0116,00) -0.000057  0.000794 23:01:18.71  -10:08:59.18 345.3279622  0.0000674 -10.1497735  0.0000666  0.012513  0.000768  0.013029  0.000835  8.70  0.11  8.24  0.11   58.5   0.8   0000000
(0117,00)  0.000009  0.000544 23:11:29.68  -10:09:20.12 347.8736757  0.0001269 -10.1555892  0.0001151  0.004787  0.000528  0.005007  0.000568  9.02  0.18  7.98  0.15   64.9   0.7   0000000
(0118,00) -0.000035  0.000418 23:12:44.64  -10:09:10.89 348.1859827  0.0000152 -10.1530252  0.0000147  0.028647  0.000346  0.029513  0.000371  8.54  0.02  8.30  0.02   63.7   0.3   0000000
(0119,00) -0.000006  0.000633 23:16:38.95  -10:08:46.62 349.1623036  0.0000601 -10.1462847  0.0000597  0.010949  0.000619  0.010677  0.000633  8.22  0.10  8.16  0.10   56.0   4.0   0000000
(0120,00) -0.000020  0.000514 23:10:38.68  -10:08:53.69 347.6611640  0.0000077 -10.1482472  0.0000066  0.075319  0.000597  0.076470  0.000621  8.56  0.01  8.15  0.01   61.9   0.1   0000000
(0121,00) -0.000027  0.000454 23:03:48.44  -10:08:26.61 345.9518305  0.0000509 -10.1407239  0.0000548  0.009083  0.000450  0.008988  0.000462  8.58  0.07  7.93  0.09  -28.8   0.4   0000000
(0122,00) -0.000012  0.000548 23:17:39.56  -10:08:10.99 349.4148532  0.0000442 -10.1363871  0.0000403  0.014005  0.000527  0.015450  0.000600  9.21  0.06  8.24  0.05   63.7   0.2   0000000
(0123,00) -0.000011  0.000490 23:09:13.54  -10:08:27.91 347.3064244  0.0002057 -10.1410873  0.0002481  0.002536  0.000475  0.002982  0.000593  9.79  0.31  8.26  0.49  -29.1   0.8   0000000
(0124,00) -0.000012  0.000468 23:07:55.91  -10:08:12.55 346.9829732  0.0001736 -10.1368186  0.0001494  0.002968  0.000459  0.002685  0.000433  9.02  0.33  6.89  0.20   58.1   0.4   0000000
(0125,00)  0.000002  0.000526 23:11:28.34  -10:07:55.02 347.8680840  0.0000121 -10.1319500  0.0000137  0.039064  0.000370  0.039903  0.000400  8.63  0.02  8.14  0.02   63.1   0.2   0000000
(0126,00) -0.000027  0.000551 23:14:21.52  -10:07:49.01 348.5896860  0.0000150 -10.1302809  0.0000131  0.043759  0.000625  0.044951  0.000660  8.54  0.02  8.27  0.02   61.0   0.3   0000000
(0127,00) -0.000064  0.000868 23:01:14.30  -10:07:26.60 345.3095961  0.0000253 -10.1240569  0.0000254  0.036425  0.000857  0.036935  0.000893  8.45  0.03  8.26  0.03   65.7   0.7   0000000
(0128,00) -0.000009  0.000405 23:06:20.73  -10:07:28.17 346.5863631  0.0000639 -10.1244917  0.0000582  0.006935  0.000395  0.006847  0.000404  8.85  0.10  7.67  0.08   62.2   0.3   0000000
(0129,00) -0.000015  0.000589 23:11:54.08  -10:07:31.69 347.9753338  0.0002009 -10.1254683  0.0001927  0.003323  0.000571  0.003666  0.000645  9.02  0.24  8.40  0.22   70.3   1.9   0000000
